feature,count,mean,median,std,min,max,q25,q75,skewness,kurtosis
rushing_netYardsPerGame,13564,299.97876732527277,313.0,118.39635224075636,-62.0,727.0,244.0,378.0,-0.7878754048003834,0.7965642818959187
passing_netYardsPerGame,13564,299.97876732527277,313.0,118.39635224075636,-62.0,727.0,244.0,378.0,-0.7878754048003834,0.7965642818959187
receiving_netTotalYards,13564,299.978759765625,313.0,118.39635467529297,-62.0,727.0,244.0,378.0,-0.7878752779770495,0.7965639828490705
rushing_netTotalYards,13564,299.978759765625,313.0,118.39635467529297,-62.0,727.0,244.0,378.0,-0.7878752779770495,0.7965639828490705
passing_netTotalYards,13564,299.978759765625,313.0,118.39635467529297,-62.0,727.0,244.0,378.0,-0.7878752779770495,0.7965639828490705
punting_netAvgPuntYards,13564,37.045169532374636,39.8,12.221242638655077,-12.0,73.0,35.13839285714286,43.8,-1.9456035186663765,3.693912777020965
rushing_twoPtRushAttempts,13564,0.04423473901503981,0.0,0.21577183338199524,0.0,2.0,0.0,0.0,5.057236827508139,26.820018376240288
defensive_avgSackYards,13564,5.287120642732094,6.0,3.495855040220045,0.0,29.0,3.0,7.666666507720947,0.02562830436457594,0.1309277975631984
rushing_yardsPerRushAttempt,13564,3.9773114430096053,4.039999961853027,1.656541276497843,-2.25,13.5625,3.1666667461395264,4.9285712242126465,-0.3219869094610817,1.0997834942365996
defensive_passesDefended,13564,4.233338248304335,4.0,2.7251451910547613,0.0,19.0,2.0,6.0,0.6216075625152228,0.5446856455027032
miscellaneous_totalTakeaways,13564,1.4014302565614862,1.0,1.315272844969739,0.0,8.0,0.0,2.0,0.9388724241187018,0.6424481929952988
passing_passingYardsAfterCatch,13564,76.38196563720703,81.0,62.7613410949707,-38.0,312.0,0.0,122.0,0.25996125104006884,-0.7906182197280787
passing_netPassingYardsPerGame,13564,192.42369507519905,196.0,93.9268368667961,-91.0,522.0,136.0,255.0,-0.1327918051207616,-0.06563511050557391
