,count,mean,std,min,25%,50%,75%,max,skewness,kurtosis,missing_pct
receiving_receivingFirstDowns,829.0,175.71652221679688,56.63002395629883,0.0,159.0,184.0,209.0,303.0,-1.7696528434753418,3.731452703475952,0.0
rushing_totalOffensivePlays,829.0,955.7659831121833,263.3417275325187,0.0,974.0,1018.0,1064.0,1193.0,-3.188495279010663,8.83930504401739,0.0
scoring_receivingTouchdowns,829.0,22.004825592041016,9.4563570022583,0.0,17.0,22.0,28.0,55.0,-0.17315040528774261,0.8583422899246216,0.0
scoring_totalPointsPerGame,829.0,28.421055665933444,10.061768393529398,0.0,24.625,29.176470588235293,34.3125,58.125,-1.1148223238415242,2.216716141112965,0.0
kicking_fieldGoalsMade50_59,829.0,2.4101326899879374,2.296435718969205,0.0,1.0,2.0,4.0,13.0,1.3175832892524735,1.9869421298816055,0.0
passing_QBRating,829.0,71.30598183724581,22.516600318748793,0.0,65.78476497282585,75.0545054053267,84.20481964324912,117.63549145932,-1.9316427162394216,4.18328566878111,0.0
passing_passingBigPlays,829.0,44.815440289505425,16.054510193133215,0.0,38.0,46.0,55.0,83.0,-1.1335349854237615,1.8654986489374354,0.0
punting_puntsInside20,829.0,23.43546485900879,8.754281044006348,0.0,20.0,24.0,29.0,51.0,-0.894371747970581,1.5220186710357666,0.0
kicking_fieldGoalsMadeYards,829.0,865.0916748046875,318.5657653808594,0.0,740.0,891.0,1058.0,1769.0,-0.9730067849159241,1.629563808441162,0.0
kicking_fieldGoalAttempts40_49,829.0,8.802171290711701,3.886610872221881,0.0,7.0,9.0,11.0,21.0,-0.29224870701436245,0.2380681623360381,0.0
total_avgPointsFor,829.0,22.006940502377066,4.433337001944232,10.0625,18.75,21.875,25.0,37.875,0.28278112539460276,0.03298864539071111,0.0
total_leagueWinPercent,829.0,49.80953901464084,19.062624507441754,0.0,37.5,50.0,64.70588235294117,100.0,-0.05549003050535912,-0.6230546014093674,0.0
passing_quarterbackRating,829.0,71.30598183724581,22.516600318748793,0.0,65.78476497282585,75.0545054053267,84.20481964324912,117.63549145932,-1.9316427162394216,4.18328566878111,0.0
passing_passingFumblesLost,829.0,4.9553680419921875,2.631412982940674,0.0,3.0,5.0,7.0,13.0,0.14463046193122864,-0.10335353761911392,0.0
miscellaneous_thirdDownConvs,829.0,85.67310333251953,26.073532104492188,0.0,82.0,91.0,100.0,139.0,-2.236997127532959,5.166905879974365,0.0
defensive_defensiveTouchdowns,829.0,2.1218335343787698,1.677751116228066,0.0,1.0,2.0,3.0,9.0,0.7530663412566072,0.38584599640367134,0.0
defensive_stuffYards,829.0,353.3329162597656,116.92570495605469,0.0,318.0,373.0,422.0,608.0,-1.625735878944397,3.137420654296875,0.0
kicking_fieldGoalsBlocked,829.0,0.6151990349819059,0.8556776082581745,0.0,0.0,0.0,1.0,5.0,1.5576564183084256,2.7278385181954374,0.0
miscellaneous_firstDownsPenalty,829.0,25.986731001206273,9.894299708225924,0.0,22.0,27.0,32.0,50.0,-0.8583134300452964,1.1632182669680833,0.0
returning_longPuntReturn,829.0,44.54282267792521,25.403975919252453,0.0,25.0,40.0,66.0,99.0,0.23418619835475873,-0.8964580025989024,0.0
returning_kickReturnTouchdowns,829.0,0.34861278533935547,0.6160601377487183,0.0,0.0,0.0,1.0,4.0,1.8807084560394287,3.805561065673828,0.0
